"id","name","categoryId","alcoholic","glassId","instructions","thumb","ingredients","measures","createdAt","updatedAt"
20,Addington,3,true,7,Mix both the vermouth's in a shaker and strain into a cold glass. Top up with a squirt of Soda Water. ,https://www.thecocktaildb.com/images/media/drink/ib0b7g1504818925.jpg,"{""ingredient1"":""Sweet Vermouth"",""ingredient2"":""Dry Vermouth"",""ingredient3"":""Soda Water""}","{""measure1"":""2 shots "",""measure2"":""1 shot "",""measure3"":""Top up with\r\n""}",2022-05-01 16:17:18.264,2022-05-01 16:17:18.265
31,Apple Highball,3,true,4,"Add ice in a highball glass. Rub a wedge of fresh lime around rim and place it in the glass. Add a shot of Apple schnapps, a shot of Courvoisier and top up with ginger ale.",https://www.thecocktaildb.com/images/media/drink/66mt9b1619695719.jpg,"{""ingredient1"":""Lime"",""ingredient2"":""Apple Schnapps"",""ingredient3"":""Cognac"",""ingredient4"":""Ginger""}","{""measure1"":""Chopped"",""measure2"":""1 shot"",""measure3"":""1 shot"",""measure4"":""Top""}",2022-05-01 16:17:18.283,2022-05-01 16:17:18.284
45,Bahama Mama,3,true,4,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg,"{""ingredient1"":""Rum"",""ingredient2"":""Dark Rum"",""ingredient3"":""Banana liqueur"",""ingredient4"":""Grenadine"",""ingredient5"":""Pineapple Juice"",""ingredient6"":""Orange Juice"",""ingredient7"":""Sweet and Sour""}","{""measure1"":""3 parts"",""measure2"":""1 part"",""measure3"":""1 part"",""measure4"":""1 part"",""measure5"":""2 parts"",""measure6"":""2 parts"",""measure7"":""1 part""}",2022-05-01 16:17:18.295,2022-05-01 16:17:18.296
55,Broadside,3,true,4,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg,"{""ingredient1"":""151 proof rum"",""ingredient2"":""Scotch"",""ingredient3"":""Bitters"",""ingredient4"":""Wormwood"",""ingredient5"":""Ice""}","{""measure1"":""1 shot"",""measure2"":""1/2 shot"",""measure3"":""3 drops"",""measure4"":""1 Fresh"",""measure5"":""cubes""}",2022-05-01 16:17:18.301,2022-05-01 16:17:18.301
66,Dark Caipirinha,3,true,4,"Muddle the sugar into the lime wedges in an old-fashioned glass.
Fill the glass with ice cubes.
Pour the cachaca into the glass.
Stir well.",https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,"{""ingredient1"":""demerara Sugar"",""ingredient2"":""Lime"",""ingredient3"":""Cachaca""}","{""measure1"":""2 tsp "",""measure2"":""1"",""measure3"":""2 1/2 oz""}",2022-05-01 16:17:18.307,2022-05-01 16:17:18.307
75,Flaming Lamborghini,3,true,7,"Pour the Sambuca and Kahlua into the Cocktail Glass and give the drinker a straw. Pour the Baileys and Blue Curacao into two sepsrate shot glasses either side of the cocktail glass. Set light the concotion in the cocktail glass and start to drink through the straw (this drink should be drunk in one) , as the bottom of the glass is reached put out the fire by pouring the Baileys and Blue Curacao into the cocktail glass and keep drinking till it's all gone!!",https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,"{""ingredient1"":""Kahlua"",""ingredient2"":""Sambuca"",""ingredient3"":""Blue Curacao"",""ingredient4"":""Baileys irish cream""}","{""measure1"":""1 oz "",""measure2"":""1 oz "",""measure3"":""1 oz "",""measure4"":""1 oz ""}",2022-05-01 16:17:18.310,2022-05-01 16:17:18.311
88,Greyhound,3,true,2,"Add the vodka to a Collins glass filled with ice.
Top with grapefruit juice and stir.

",https://www.thecocktaildb.com/images/media/drink/g5upn41513706732.jpg,"{""ingredient1"":""Vodka"",""ingredient2"":""Grapefruit Juice""}","{""measure1"":""1 1/2 oz"",""measure2"":""3 oz""}",2022-05-01 16:17:18.332,2022-05-01 16:17:18.332
106,Michelada,3,true,1,"Mix the beer with tomato juice, freshly squeezed lime juice, and Worcestershire sauce, teriyaki sauce, soy sauce, or hot sauce.
Served In a chilled, salt-rimmed glass
",https://www.thecocktaildb.com/images/media/drink/u736bd1605907086.jpg,"{""ingredient1"":""Beer"",""ingredient2"":""Tomato Juice"",""ingredient3"":""Lime Juice"",""ingredient4"":""Hot Sauce"",""ingredient5"":""Worcestershire Sauce"",""ingredient6"":""Soy Sauce""}","{""measure1"":""4 oz"",""measure2"":""4 oz"",""measure3"":""1 tblsp"",""measure4"":""Dash"",""measure5"":""Dash"",""measure6"":""Dash""}",2022-05-01 16:17:18.348,2022-05-01 16:17:18.348
116,Drinking Chocolate,4,false,20,"Heat the cream and milk with the cinnamon and vanilla bean very slowly for 15-20 minutes. (If you don't have any beans add 1-2 tsp of vanilla after heating). Remove the bean and cinnamon. Add the chocolate. Mix until fully melted. Serve topped with some very dense fresh whipped cream. Serves 1-2 depending upon how much of a glutton you are. For a richer chocolate, use 4 oz of milk, 4 oz of cream, 4 oz of chocolate. Serve in coffee mug.",https://www.thecocktaildb.com/images/media/drink/u6jrdf1487603173.jpg,"{""ingredient1"":""Heavy cream"",""ingredient2"":""Milk"",""ingredient3"":""Cinnamon"",""ingredient4"":""Vanilla"",""ingredient5"":""Chocolate"",""ingredient6"":""Whipped cream""}","{""measure1"":""2 oz "",""measure2"":""6-8 oz "",""measure3"":""1 stick "",""measure4"":""1 "",""measure5"":""2 oz finely chopped dark "",""measure6"":""Fresh ""}",2022-05-01 16:17:18.353,2022-05-01 16:17:18.353
129,H.D.,5,true,11,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,https://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,"{""ingredient1"":""Whisky"",""ingredient2"":""Baileys irish cream"",""ingredient3"":""Coffee""}","{""measure1"":""4 cl "",""measure2"":""8 cl ""}",2022-05-01 16:17:18.360,2022-05-01 16:17:18.360
146,Thai Coffee,5,false,4,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away.",https://www.thecocktaildb.com/images/media/drink/wquwxs1441247025.jpg,"{""ingredient1"":""Coffee"",""ingredient2"":""Coriander"",""ingredient3"":""Cardamom"",""ingredient4"":""Sugar"",""ingredient5"":""Whipping cream"",""ingredient6"":""Ice""}","{""measure1"":""6 tblsp ground"",""measure2"":""1/4 tsp "",""measure3"":""4-5 whole green ""}",2022-05-01 16:17:18.367,2022-05-01 16:17:18.368
157,"410 Gone",8,true,2,"",https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg,"{""ingredient1"":""Peach Vodka"",""ingredient2"":""Coca-Cola""}","{""measure1"":""2-3 oz""}",2022-05-01 16:17:18.376,2022-05-01 16:17:18.376
163,A Furlong Too Late,8,true,4,Pour the rum and ginger beer into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,https://www.thecocktaildb.com/images/media/drink/ssxvww1472669166.jpg,"{""ingredient1"":""Light rum"",""ingredient2"":""Ginger beer"",""ingredient3"":""Lemon peel""}","{""measure1"":""2 oz "",""measure2"":""4 oz "",""measure3"":""1 twist of ""}",2022-05-01 16:17:18.378,2022-05-01 16:17:18.379
178,Affinity,8,true,7,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/wzdtnn1582477684.jpg,"{""ingredient1"":""Scotch"",""ingredient2"":""Sweet Vermouth"",""ingredient3"":""Dry Vermouth"",""ingredient4"":""Orange bitters""}","{""measure1"":""1 1/2 oz "",""measure2"":""1 oz "",""measure3"":""1 oz "",""measure4"":""2 dashes ""}",2022-05-01 16:17:18.389,2022-05-01 16:17:18.389
193,Amaretto Mist,8,true,10,"Pour amaretto in an old-fashioned glass over crushed ice. Add the wedge of lime and serve. (A wedge of lemon may be substituted for lime, if preferred.)",https://www.thecocktaildb.com/images/media/drink/utpxxq1483388370.jpg,"{""ingredient1"":""Amaretto"",""ingredient2"":""Lime""}","{""measure1"":""1 1/2 oz "",""measure2"":""1 ""}",2022-05-01 16:17:18.420,2022-05-01 16:17:18.421
21,Adios Amigos Cocktail,3,true,12,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/8nk2mp1504819893.jpg,"{""ingredient1"":""Rum"",""ingredient2"":""Dry Vermouth"",""ingredient3"":""Cognac"",""ingredient4"":""Gin"",""ingredient5"":""Fresh Lime Juice"",""ingredient6"":""Sugar Syrup"",""ingredient7"":""Water""}","{""measure1"":""1 shot "",""measure2"":""1/2 shot "",""measure3"":""1/2 shot "",""measure4"":""1/2 shot "",""measure5"":""1/4 shot"",""measure6"":""1/4 shot"",""measure7"":""1/2 shot ""}",2022-05-01 16:17:18.266,2022-05-01 16:17:18.267
33,Black & Tan,1,true,1,Fill pint glass half full with Bass. Next pour Guiness over a spoon slowly until glass is full. If done correctly the Guiness will stay on top and the Bass on bottom hence the name Black & Tan.,https://www.thecocktaildb.com/images/media/drink/rwpswp1454511017.jpg,"{""ingredient1"":""Ale"",""ingredient2"":""Guinness stout""}","{""measure1"":""1 part Bass pale "",""measure2"":""1 part ""}",2022-05-01 16:17:18.132,2022-05-01 16:17:18.132
44,Aviation,3,true,7,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass. Garnish with a cherry.,https://www.thecocktaildb.com/images/media/drink/trbplb1606855233.jpg,"{""ingredient1"":""Gin"",""ingredient2"":""lemon juice"",""ingredient3"":""maraschino liqueur""}","{""measure1"":""4.5 cl"",""measure2"":""1.5 cl"",""measure3"":""1.5 cl""}",2022-05-01 16:17:18.294,2022-05-01 16:17:18.294
57,Butterfly Effect,3,true,14,"Grab your boston tin, fill it with cubes ice and then simply chuck in all your ingredients apart from your lemonade.
Now it’s time to shake what your mama gave you until all your ingredients are blended to perfection.
Add some cubes of ice to your hurricane glass, give them a swill to cool the whole thing down and then strain your raspberry vodka cocktail of wonder into the glass.
Top with lemonade and chuck a sprig of mint on top for garnish.
You can either get drinking at this point or go and try and grab a few butterflies to finish, the choice really is yours.",https://www.thecocktaildb.com/images/media/drink/ht3hnk1619704289.jpg,"{""ingredient1"":""Raspberry Vodka"",""ingredient2"":""Cranberry Juice"",""ingredient3"":""Lemonade"",""ingredient4"":""Blue Curacao"",""ingredient5"":""Sugar Syrup"",""ingredient6"":""Lime Juice"",""ingredient7"":""Mint""}","{""measure1"":""50 ml"",""measure2"":""25 ml"",""measure3"":""25 ml"",""measure4"":""10 ml"",""measure5"":""10 ml"",""measure6"":""Dash"",""measure7"":""Sprig""}",2022-05-01 16:17:18.304,2022-05-01 16:17:18.304
69,Dry Martini,3,true,7,"Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive.",https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,"{""ingredient1"":""Gin"",""ingredient2"":""Dry Vermouth"",""ingredient3"":""Olive""}","{""measure1"":""1 2/3 oz "",""measure2"":""1/3 oz "",""measure3"":""1 ""}",2022-05-01 16:17:18.307,2022-05-01 16:17:18.308
76,French Martini,3,true,7,Pour all ingredients into shaker with ice cubes. Shake well and strain into a chilled cocktail glass. Squeeze oil from lemon peel onto the drink.,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,"{""ingredient1"":""Vodka"",""ingredient2"":""Raspberry Liqueur"",""ingredient3"":""pineapple juice""}","{""measure1"":""4.5 cl"",""measure2"":""1.5 cl"",""measure3"":""1.5 cl""}",2022-05-01 16:17:18.311,2022-05-01 16:17:18.311
89,Honey Bee,3,true,15,"Shake ingredients with crushed ice
",https://www.thecocktaildb.com/images/media/drink/vu8l7t1582475673.jpg,"{""ingredient1"":""White Rum"",""ingredient2"":""Honey"",""ingredient3"":""Lemon Juice""}","{""measure1"":""6 cl"",""measure2"":""2 cl"",""measure3"":""2 cl""}",2022-05-01 16:17:18.332,2022-05-01 16:17:18.333
101,Malibu Twister,3,true,4,"Add rum & trister then, add cranberry jucie,stir",https://www.thecocktaildb.com/images/media/drink/2dwae41504885321.jpg,"{""ingredient1"":""Malibu rum"",""ingredient2"":""Tropicana"",""ingredient3"":""Cranberry juice""}","{""measure1"":""2 parts "",""measure2"":""2 parts "",""measure3"":""1 part ""}",2022-05-01 16:17:18.341,2022-05-01 16:17:18.341
117,Nuked Hot Chocolate,4,false,20,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",https://www.thecocktaildb.com/images/media/drink/xcu6nb1487603142.jpg,"{""ingredient1"":""Cocoa powder"",""ingredient2"":""Sugar"",""ingredient3"":""Vanilla extract"",""ingredient4"":""Milk""}","{""measure1"":""2 tsp "",""measure2"":""1 tsp "",""measure3"":""1/2 tsp "",""measure4"":""12 oz ""}",2022-05-01 16:17:18.355,2022-05-01 16:17:18.356
127,Iced Coffee,5,false,20,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,https://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,"{""ingredient1"":""Coffee"",""ingredient2"":""Sugar"",""ingredient3"":""Water"",""ingredient4"":""Milk""}","{""measure1"":""1/4 cup instant "",""measure2"":""1/4 cup "",""measure3"":""1/4 cup hot "",""measure4"":""4 cups cold ""}",2022-05-01 16:17:18.361,2022-05-01 16:17:18.361
137,Spiking coffee,5,false,20,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug.",https://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,"{""ingredient1"":""Coffee"",""ingredient2"":""Cinnamon""}","{}",2022-05-01 16:17:18.365,2022-05-01 16:17:18.365
148,Coffee Liqueur,7,true,2,"Combine coffee, sugar and water. Simmer 1 hour and let cool. Add vanilla and vodka. Age in sealed jar 2 to 3 weeks.",https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,"{""ingredient1"":""Coffee"",""ingredient2"":""Vanilla extract"",""ingredient3"":""Sugar"",""ingredient4"":""Vodka"",""ingredient5"":""Water""}","{""measure1"":""10 tblsp instant "",""measure2"":""4 tblsp "",""measure3"":""2 1/2 cups "",""measure4"":""1 qt "",""measure5"":""2 1/2 cups ""}",2022-05-01 16:17:18.372,2022-05-01 16:17:18.372
160,"3-Mile Long Island Iced Tea",8,true,2,Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.,https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg,"{""ingredient1"":""Gin"",""ingredient2"":""Light rum"",""ingredient3"":""Tequila"",""ingredient4"":""Triple sec"",""ingredient5"":""Vodka"",""ingredient6"":""Coca-Cola"",""ingredient7"":""Sweet and sour"",""ingredient8"":""Bitters"",""ingredient9"":""Lemon""}","{""measure1"":""1/2 oz"",""measure2"":""1/2 oz"",""measure3"":""1/2 oz"",""measure4"":""1/2 oz"",""measure5"":""1/2 oz"",""measure6"":""1/2 oz"",""measure7"":""1-2 dash "",""measure8"":""1 wedge "",""measure9"":""Garnish with""}",2022-05-01 16:17:18.375,2022-05-01 16:17:18.376
171,Acapulco,8,true,10,Combine and shake all ingredients (except mint) with ice and strain into an old-fashioned glass over ice cubes. Add the sprig of mint and serve.,https://www.thecocktaildb.com/images/media/drink/il9e0r1582478841.jpg,"{""ingredient1"":""Light rum"",""ingredient2"":""Triple sec"",""ingredient3"":""Lime juice"",""ingredient4"":""Sugar"",""ingredient5"":""Egg white"",""ingredient6"":""Mint""}","{""measure1"":""1 1/2 oz "",""measure2"":""1 1/2 tsp "",""measure3"":""1 tblsp "",""measure4"":""1 tsp "",""measure5"":""1 "",""measure6"":""1 ""}",2022-05-01 16:17:18.388,2022-05-01 16:17:18.389
182,Alfie Cocktail,8,true,7,"Combine and shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/ypxsqy1483387829.jpg,"{""ingredient1"":""Lemon vodka"",""ingredient2"":""Triple sec"",""ingredient3"":""Pineapple juice""}","{""measure1"":""1 1/2 oz "",""measure2"":""1 dash "",""measure3"":""1 tblsp ""}",2022-05-01 16:17:18.419,2022-05-01 16:17:18.420
197,Amaretto Sour,8,true,2,Shake and strain. Garnish with a cherry and an orange slice.,https://www.thecocktaildb.com/images/media/drink/xnzc541493070211.jpg,"{""ingredient1"":""Amaretto"",""ingredient2"":""Sour mix""}","{""measure1"":""1 1/2 oz "",""measure2"":""3 oz ""}",2022-05-01 16:17:18.421,2022-05-01 16:17:18.421
22,Addison,3,true,12,Shake together all the ingredients and strain into a cold glass.,https://www.thecocktaildb.com/images/media/drink/yzva7x1504820300.jpg,"{""ingredient1"":""Gin"",""ingredient2"":""Vermouth""}","{""measure1"":""1 1/2 shot "",""measure2"":""1 1/2 shot ""}",2022-05-01 16:17:18.264,2022-05-01 16:17:18.265
41,Applejack,3,true,7,"Add all ingredients into mixing glass, chill and strain into cocktail glass",https://www.thecocktaildb.com/images/media/drink/sutyqp1479209062.jpg,"{""ingredient1"":""Jack Daniels"",""ingredient2"":""Midori melon liqueur"",""ingredient3"":""Sour mix""}","{""measure1"":""1 oz "",""measure2"":""1/2 oz "",""measure3"":""2 oz ""}",2022-05-01 16:17:18.285,2022-05-01 16:17:18.285
47,Bee's Knees,3,true,12,"Shake ingredients with crushed ice
Garnish with orange peel
",https://www.thecocktaildb.com/images/media/drink/tx8ne41582475326.jpg,"{""ingredient1"":""Gold rum"",""ingredient2"":""Orange Juice"",""ingredient3"":""Lime Juice"",""ingredient4"":""Triple Sec""}","{""measure1"":""6 cl"",""measure2"":""2 cl"",""measure3"":""2 cl"",""measure4"":""2 jiggers""}",2022-05-01 16:17:18.297,2022-05-01 16:17:18.297
64,Cocktail Horse’s Neck,3,true,4,"Wash and brush an organic, untreated lemon, then cut a spiral of lemon peel, using a citrus peel. If it is too large, cut it with a sharp knife.

Put some ice in a tall tumbler glass, place the lemon peel inside and pour the cognac, add the ginger beer and let 2-3 drops of Angostura fall into it. Easy to do, but once you try it you'll love it.",https://www.thecocktaildb.com/images/media/drink/4vobt21643844913.jpg,"{""ingredient1"":""Cognac"",""ingredient2"":""Ginger Beer"",""ingredient3"":""Angostura Bitters"",""ingredient4"":""Lemon Peel""}","{""measure1"":""4 cl"",""measure2"":""100 ml"",""measure3"":""3 drops"",""measure4"":""1""}",2022-05-01 16:17:18.304,2022-05-01 16:17:18.305
